Plant_ID,Common_Name,Scientific_Name,Family,Kingdom,Division,Class,Order,Plant_Type,Life_Span,Leaf_Type,Leaf_Arrangement,Leaf_Shape,Stem_Type,Stem_Texture,Flower_Color,Flower_Type,Flowering_Season,Fruit_Type,Fruit_Color,Root_Type,Habitat,Native_Region_India,Medicinal_Uses,Culinary_Uses,Industrial_Uses,Fragrance,Toxicity_Level
71,Indian Kino,Pterocarpus marsupium,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Compound,Alternate,Elliptic,Woody,Fissured,Yellow,Panicles,Oct-Feb,Samara,Brown,Taproot,Western Ghats,South India,Diabetes,None,Dye/Timber,None,None
72,African Tulip,Spathodea campanulata,Bignoniaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Tree,Perennial,Pinnate,Opposite,Ovate,Woody,Smooth,Red-Orange,Bell-shaped,Spring,Capsule,Brown,Taproot,Urban Parks,India,Wounds,None,Ornamental,None,None
73,Champaca,Magnolia champaca,Magnoliaceae,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Tree,Perennial,Simple,Alternate,Lanceolate,Woody,Smooth,Yellow-Orange,Solitary,June-Sept,Follicle,Brown,Taproot,Western Ghats,South India,Fever,None,Perfumery,Very Strong,None
74,False Ashoka,Polyalthia longifolia,Annonaceae,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Tree,Perennial,Simple,Alternate,Lanceolate,Woody,Smooth,Light Green,Star-shaped,March-May,Berry,Purple,Taproot,Roadsides,India,Fever,None,Fencing,None,None
75,Mast Tree,Monoon longifolium,Annonaceae,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Tree,Perennial,Simple,Alternate,Narrowly ovate,Woody,Rough,Green,Clusters,Spring,Berry,Black,Taproot,Urban,India,None,None,Ornamental,None,None
76,Wild Date Palm,Phoenix sylvestris,Arecaceae,Plantae,Magnoliophyta,Liliopsida,Arecales,Palm,Perennial,Pinnate,Spiralled,Linear,Rough trunk,Ringed,White,Spadix,Winter,Berry,Orange-Brown,Fibrous,Plains,India,Aphrodisiac,Jaggery/Fruit,Brooms,None,None
77,Fish Tail Palm,Caryota urens,Arecaceae,Plantae,Magnoliophyta,Liliopsida,Arecales,Palm,Perennial,Bipinnate,Spiralled,Wedge-shaped,Smooth trunk,Ringed,Creamy,Spadix,Rarely,Berry,Red-Black,Fibrous,Western Ghats,India,Tonic,Toddy/Sago,Fiber,None,Fruit Stings
79,Silver Oak,Grevillea robusta,Proteaceae,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Tree,Perennial,Fern-like,Alternate,Lobbed,Woody,Rough,Golden Orange,Racemes,Spring,Follicle,Black,Taproot,Coffee Estates,South India,None,None,Timber,None,None
80,Spanish Cherry,Mimusops elengi,Sapotaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Ovate,Woody,Rough,White,Star-shaped,Summer,Berry,Orange,Taproot,Coastal,India,Teeth/Gums,None,Perfumery,Very Strong,None
81,Night Queen,Cestrum nocturnum,Solanaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Shrub,Perennial,Simple,Alternate,Lanceolate,Green/Woody,Smooth,Greenish-White,Tubular,Summer,Berry,White,Taproot,Gardens,India,None,None,Ornamental,Extreme,All parts
82,Day King,Cestrum diurnum,Solanaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Shrub,Perennial,Simple,Alternate,Elliptic,Woody,Smooth,White,Tubular,Year-round,Berry,Black,Taproot,Gardens,India,None,None,Ornamental,Strong,None
83,Bougainvillea,Bougainvillea glabra,Nyctaginaceae,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Shrub,Perennial,Simple,Alternate,Ovate,Thorny,Rough,Pink/Purple,Bracted,Year-round,None,None,Taproot,Gardens,India,None,None,Fencing,None,None
84,Yellow Oleander,Cascabela thevetia,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Shrub,Perennial,Simple,Alternate,Linear,Woody,Smooth,Yellow,Trumpet,Year-round,Drupe,Black,Taproot,Roadsides,India,None,None,Ornamental,None,Highly Toxic
85,Red Oleander,Nerium oleander,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Shrub,Perennial,Simple,Whorled,Lanceolate,Woody,Smooth,Red/Pink,Clusters,Year-round,Follicle,Brown,Taproot,Gardens,India,None,None,Ornamental,None,Highly Toxic
86,Indian Snakeroot,Rauvolfia serpentina,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Shrub,Perennial,Simple,Whorled,Lanceolate,Green,Smooth,White-Pink,Cyme,Year-round,Drupe,Black,Taproot,Western Ghats,India,Hypertension,None,None,None,Medium
87,Calotropis,Calotropis gigantea,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Shrub,Perennial,Simple,Opposite,Obovate,Succulent,Hairy,Purple/White,Cyme,Year-round,Follicle,Green,Taproot,Wasteland,India,Skin/Joints,None,Fiber,None,Sap Toxic
88,Datura,Datura metel,Solanaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Herb,Annual,Simple,Alternate,Ovate,Green,Smooth,Purple/White,Trumpet,Year-round,Capsule,Prickly,Taproot,Wasteland,India,Asthma,None,None,Strong,Highly Toxic
89,Castor Oil Plant,Ricinus communis,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Shrub,Perennial,Palmate,Alternate,Star-shaped,Woody,Smooth,Green-Red,Spikes,Year-round,Capsule,Prickly,Taproot,Wasteland,India,Laxative,None,Lubricant,None,Seeds Toxic
90,Water Hyacinth,Eichhornia crassipes,Pontederiaceae,Plantae,Magnoliophyta,Liliopsida,Commelinales,Aquatic,Perennial,Simple,Rosette,Round,Spongy,Smooth,Violet,Spike,Year-round,Capsule,Brown,Fibrous,Ponds,India,None,None,Biofuel,None,None
91,Lotus,Nelumbo nucifera,Nelumbonaceae,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Aquatic,Perennial,Simple,Basal,Circular,Rhizome,Smooth,Pink/White,Solitary,Summer,Nutlet,Brown,Rhizome,Lakes,India,Coolant,Stems/Seeds,Sacred,Sweet,None
92,Water Lily,Nymphaea pubescens,Nymphaeaceae,Plantae,Magnoliophyta,Magnoliopsida,Nymphaeales,Aquatic,Perennial,Simple,Basal,Heart-shaped,Rhizome,Smooth,White/Red,Solitary,Year-round,Berry,Green,Rhizome,Ponds,India,Coolant,Seeds eaten,None,Mild,None
93,Drumstick Tree,Moringa oleifera,Moringaceae,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Tree,Perennial,Tripinnate,Alternate,Ovate,Woody,Corky,White,Panicles,Year-round,Pod,Brown,Taproot,Gardens,India,Malnutrition,Vegetable,Oil,Mild,None
94,Papaya,Carica papaya,Caricaceae,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Tree,Perennial,Palmate,Alternate,Lobbed,Soft/Fleshy,Smooth,Pale Yellow,Clusters,Year-round,Berry,Orange,Taproot,Gardens,India,Digestion,Fruit,Latex,Sweet,None
96,Pomegranate,Punica granatum,Lythraceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Shrub,Perennial,Simple,Opposite,Oblong,Woody,Smooth,Orange-Red,Solitary,Year-round,Berry,Red,Taproot,Dry plains,India,Anemia,Fruit,Dye,None,None
98,Woodfordia,Woodfordia fruticosa,Lythraceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Shrub,Perennial,Simple,Opposite,Lanceolate,Woody,Peeling,Bright Red,Cyme,Spring,Capsule,Brown,Taproot,Ghats,India,Fermentation,None,Dye,None,None
99,Long Pepper,Piper longum,Piperaceae,Plantae,Magnoliophyta,Magnoliopsida,Piperales,Climber,Perennial,Simple,Alternate,Cordate,Soft,Smooth,Green-White,Spike,Monsoon,Berry,Black,Adventitious,Western Ghats,India,Asthma,Spice,None,Pungent,None
100,Tylophora,Tylophora indica,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Climber,Perennial,Simple,Opposite,Ovate,Soft,Smooth,Green-Purple,Cyme,Monsoon,Follicle,Brown,Taproot,Western Ghats,India,Asthma,None,None,None,None
101,Bael,Aegle marmelos,Rutaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Trifoliate,Alternate,Ovate,Thorny,Smooth,Green-White,Panicle,Summer,Berry,Grey-Yellow,Taproot,Dry Forest,India,Constipation,Sharbat,Sacred,Mild,None
102,Soap Nut (North),Sapindus mukorossi,Sapindaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Compound,Alternate,Lanceolate,Woody,Smooth,White,Panicle,Summer,Drupe,Yellow-Brown,Taproot,Hills,India,Skin,None,Soap,None,None
103,Marking Nut,Semecarpus anacardium,Anacardiaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Simple,Alternate,Obovate,Woody,Rough,Green-White,Panicle,Summer,Drupe,Black,Taproot,Deciduous,India,Joint pain,None,Ink,None,Sap Corrosive
104,Clearing Nut,Strychnos potatorum,Loganiaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Tree,Perennial,Simple,Opposite,Ovate,Woody,Black,White,Cyme,Summer,Berry,Black,Taproot,Dry Forest,India,Water purify,None,None,None,None
